county,median_income
49,42019
139,75882
141,53036
147,69662
149,72955
151,50333
153,not avaliable
155,45458
157,51350
143,49435
33,46204
31,51856
35,29072
163,55023
37,82542
43,38980
63,not avaliable
93,106354
5,52852
125,59762
111,46375
21,76471
99,77656
145,35417
45,80227
51,46944
47,52113
127,43257
129,49968
135,50750
81,91808
165,50000
1,not avaliable
3,not avaliable
161,not avaliable
9,44159
7,45513
11,43882
15,60838
17,51216
19,not avaliable
25,45547
23,54963
27,51821
109,not avaliable
113,53516
121,60075
75,66875
97,not avaliable
115,75882
87,80929
101,50619
103,69244
105,62845
117,45880
107,55389
41,44718
13,not avaliable
53,27052
55,not avaliable
59,48162
133,47528
137,59940
119,44333
89,65923
91,36976
29,not avaliable
77,68056
131,not avaliable
61,not avaliable
67,44500
65,64813
159,not avaliable
69,not avaliable
71,40703
73,76463
39,38727
123,51188
95,43116
83,not avaliable
85,43516
79,47183
57,51096
