,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county,median_income
0,295000.0,1305 County Road Pre,3.0,House for sale,Ishpeming,MI 49849,2.0,1972.0,MI,49849,103,69244
1,245000.0,30250 Champine St,3.0,House for sale,Saint Clair Shores,MI 48082,3.0,1582.0,MI,48082,99,77656
2,120000.0,320 S Hamilton St,3.0,House for sale,Marshall,MI 49068,2.0,1283.0,MI,49068,25,45547
3,76900.0,6554 Robin Dr,3.0,House for sale,Harrison,MI 48625,1.0,1000.0,MI,48625,113,53516
4,349900.0,14060 Lincoln St,4.0,House for sale,Grand Haven,MI 49417,3.0,2160.0,MI,49417,139,75882
5,209000.0,1902 Hampden Rd,3.0,House for sale,Flint,MI 48503,3.0,1923.0,MI,48503,49,42019
6,289900.0,6743 Juneview Ct NE,4.0,House for sale,Rockford,MI 49341,3.0,2292.0,MI,49341,81,91808
7,395000.0,32923 Robeson St,5.0,House for sale,Saint Clair Shores,MI 48082,4.0,2631.0,MI,48082,99,77656
8,220000.0,190 Fifteen Mile Rd NW,3.0,House for sale,Sparta,MI 49345,2.0,1804.0,MI,49345,139,75882
9,160000.0,322 W Lake St,3.0,House for sale,Sand Lake,MI 49343,1.0,1280.0,MI,49343,123,51188
10,440000.0,2660 Springside Dr,4.0,House for sale,Lowell,MI 49331,3.0,3262.0,MI,49331,81,91808
11,189500.0,5190 Bay Shore Dr,3.0,House for sale,Presque Isle,MI 49777,2.0,1530.0,MI,49777,141,53036
12,189900.0,5615 138th Ave,4.0,House for sale,Holland,MI 49423,1.0,1463.0,MI,49423,139,75882
13,230000.0,45 Sterling Dr,4.0,House for sale,Lapeer,MI 48446,2.0,1850.0,MI,48446,87,80929
14,169000.0,3378 Harlow Trl,2.0,House for sale,Prescott,MI 48756,1.0,774.0,MI,48756,11,43882
15,279900.0,6786 Bluegrass Dr,4.0,House for sale,Clarkston,MI 48346,3.0,1784.0,MI,48346,125,59762
16,160000.0,6482 Carlisle Hwy,3.0,House for sale,Charlotte,MI 48813,1.0,1272.0,MI,48813,45,80227
17,300000.0,2432 Kalarama Ave,4.0,House for sale,Portage,MI 49024,3.0,2982.0,MI,49024,77,68056
18,195000.0,8805 E 128th St,3.0,House for sale,Sand Lake,MI 49343,2.0,1512.0,MI,49343,123,51188
19,324900.0,3079 Rau Dr NE,3.0,House for sale,Sand Lake,MI 49343,2.0,2042.0,MI,49343,123,51188
20,329000.0,3860 N Hollister Rd,3.0,House for sale,Ovid,MI 48866,2.0,2411.0,MI,48866,37,82542
21,125000.0,0 M94,2.0,House for sale,Skandia,MI 49885,1.0,960.0,MI,49885,103,69244
22,269000.0,2905 W Milham Ave,3.0,House for sale,Portage,MI 49024,2.0,2116.0,MI,49024,77,68056
23,170000.0,25808 Maritime Cir N #49,2.0,Condo for sale,Harrison Township,MI 48045,2.0,1077.0,MI,48045,99,77656
24,549900.0,13318 Beckwith Dr NE,5.0,House for sale,Lowell,MI 49331,3.0,2585.0,MI,49331,81,91808
25,250000.0,8262 Fox Bay Dr,4.0,House for sale,White Lake,MI 48386,3.0,1308.0,MI,48386,125,59762
26,285000.0,11067 S Duck Lake Trl,2.0,House for sale,Sault Sainte Marie,MI 49783,2.0,2072.0,MI,49783,33,46204
27,244320.0,22014 Andover Dr #84/9,3.0,Condo for sale,Macomb,MI 48042,2.0,1470.0,MI,48042,99,77656
28,375000.0,2688 Lone Pine Rd,3.0,House for sale,Farwell,MI 48622,3.0,2490.0,MI,48622,35,29072
29,119000.0,10543 Puritan Rd,2.0,House for sale,Bessemer,MI 49911,1.0,1188.0,MI,49911,53,27052
30,280000.0,33942 Coachwood Dr,4.0,House for sale,Sterling Heights,MI 48312,2.0,1757.0,MI,48312,99,77656
31,129900.0,10811 N Brooks Rd,2.0,House for sale,Irons,MI 49644,1.0,995.0,MI,49644,85,43516
32,485000.0,377 Kendry,3.0,House for sale,Bloomfield Hills,MI 48302,4.0,2507.0,MI,48302,125,59762
33,239900.0,22834 Ulrich St,3.0,House for sale,Clinton Township,MI 48036,2.0,1470.0,MI,48036,99,77656
34,659000.0,20675 Thirty Mile Rd,4.0,House for sale,Ray,MI 48096,4.0,3017.0,MI,48096,99,77656
35,50000.0,5969 Au Sable Valley Rd,1.0,House for sale,Johannesburg,MI 49751,1.0,432.0,MI,49751,119,44333
36,700000.0,2927 Duana Dr,5.0,House for sale,Milford,MI 48380,6.0,3155.0,MI,48380,125,59762
37,459900.0,302 Seneca St,4.0,House for sale,Bellaire,MI 49615,2.0,2726.0,MI,49615,9,44159
38,199900.0,763 Elliott Ave,3.0,House for sale,Ishpeming,MI 49849,2.0,1360.0,MI,49849,103,69244
39,80000.0,1300 E Lafayette St #20405,2.0,Condo for sale,Detroit,MI 48207,2.0,1522.0,MI,48207,163,55023
40,28000.0,2967 Waverly St,3.0,House for sale,Detroit,MI 48238,2.0,1914.0,MI,48238,163,55023
41,229900.0,5323 Ann Arbor Rd,4.0,House for sale,Jackson,MI 49201,2.0,4890.0,MI,49201,75,66875
42,209900.0,50124 Circle Dr,4.0,House for sale,Dowagiac,MI 49047,2.0,1701.0,MI,49047,27,51821
43,299900.0,11808 Four Lakes Dr,3.0,House for sale,South Lyon,MI 48178,2.0,1670.0,MI,48178,125,59762
