,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county
0,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
1,"$325,000",37901 Carson St,3.0, House for sale, Farmington, MI 48331,2.0,1901.0,MI,48331,26125
2,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
3,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
4,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
5,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
6,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
7,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
8,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
9,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
10,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
11,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
12,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
13,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
14,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
15,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
16,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
17,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
18,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
19,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
20,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
21,"$239,900",1655 Walnut Heights Dr,3.0, Coming soon, East Lansing, MI 48823,2.0,2027.0,MI,48823,26037
22,"$239,900",1655 Walnut Heights Dr,3.0, Coming soon, East Lansing, MI 48823,2.0,2027.0,MI,48823,26065
23,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
24,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
25,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
26,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
27,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
28,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
29,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
30,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
31,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
32,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
33,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
34,"$199,900",1451 Havenga St,4.0, House for sale, Muskegon, MI 49445,2.0,2008.0,MI,49445,26121
35,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
36,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
37,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
38,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
39,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
40,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
41,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
42,"$130,000",7911 W Lake Rd,3.0, Home for sale, Twin Lake, MI 49457,2.0,1114.0,MI,49457,26123
43,"$130,000",7911 W Lake Rd,3.0, Home for sale, Twin Lake, MI 49457,2.0,1114.0,MI,49457,26121
44,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
45,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
46,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
47,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
48,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
49,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
50,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
