zipcode,county
48030,26125
49221,26091
49254,26075
49241,26075
49241,26059
49229,26161
49229,26115
49229,26091
48301,26125
48169,26093
48169,26161
48152,26163
48206,26163
48226,26163
48729,26157
48729,26151
48901,26065
49037,26077
49037,26025
49057,26159
49098,26021
49098,26159
49024,26077
49349,26123
49950,26083
49615,26009
49623,26085
49686,26055
49456,26121
49456,26139
49802,26043
49718,26047
49718,26031
48321,26125
48856,26057
48611,26017
48652,26017
48652,26051
48652,26111
48621,26135
49514,26081
49831,26043
49840,26153
49970,26013
49822,26103
49822,26003
49722,26047
49611,26009
48222,26163
48833,26037
48036,26099
48014,26147
48014,26087
48022,26147
48085,26125
48085,26099
49269,26075
49238,26091
49238,26115
49256,26091
48308,26125
48460,26145
48460,26155
48460,26049
48462,26087
48462,26125
48462,26049
48212,26163
48218,26163
49103,26021
49913,26083
49913,26061
49683,26101
49683,26055
49683,26165
49683,26019
49441,26121
49781,26097
49743,26141
49838,26097
48303,26125
49318,26081
49318,26121
49318,26139
49429,26139
49793,26033
49796,26029
48909,26065
49035,26015
49062,26159
48366,26125
48350,26125
49237,26025
49237,26075
48184,26163
48468,26063
48469,26151
48393,26125
48461,26087
48210,26163
48225,26163
48211,26163
48732,26017
48813,26045
48813,26025
48836,26093
48836,26155
48880,26111
48880,26057
48880,26073
49071,26077
49071,26159
49051,26025
48911,26045
48911,26065
49322,26117
49420,26127
49325,26081
49325,26015
49325,26067
49659,26079
49659,26009
49765,26031
49765,26141
49279,26091
49962,26013
49719,26033
49719,26097
48046,26099
49227,26059
49227,26023
49775,26097
49005,26077
49258,26059
48139,26093
48190,26161
48038,26099
48034,26125
48050,26099
48383,26125
48612,26051
48612,26111
48612,26035
48442,26049
48442,26125
48442,26093
48466,26151
48203,26163
48656,26143
48706,26017
48746,26049
48746,26157
48867,26155
48867,26145
48875,26037
48875,26067
49047,26027
49047,26021
49047,26159
49016,26025
49412,26121
49412,26123
49412,26127
49310,26073
49310,26117
49310,26107
49304,26085
49304,26123
49424,26139
49931,26061
49911,26053
49967,26131
49967,26061
49967,26071
49656,26085
49665,26113
49665,26035
49665,26133
48741,26157
48741,26151
49422,26139
49453,26005
48805,26065
49119,26021
49879,26071
49879,26103
49848,26109
49871,26103
49797,26137
48663,26145
49674,26089
49063,26159
48039,26147
48095,26099
48322,26125
49284,26075
49284,26025
49284,26045
48111,26115
48111,26161
48111,26163
48467,26063
48386,26125
48502,26049
48504,26049
48618,26073
48618,26051
48618,26111
48865,26067
49088,26077
49302,26081
49302,26067
49073,26015
49073,26045
49120,26027
49120,26021
49331,26081
49331,26067
49415,26139
49415,26121
49307,26123
49307,26107
49896,26109
49663,26113
49663,26165
49806,26003
49837,26041
48414,26155
49342,26107
49934,26061
49436,26127
48432,26063
49610,26055
48177,26115
49430,26139
49281,26059
48035,26099
48028,26125
48028,26147
48340,26125
48367,26125
48326,26125
48363,26125
49228,26091
49228,26115
49274,26023
49274,26059
48615,26111
48615,26057
48312,26099
48166,26115
48180,26163
48178,26125
48178,26161
48178,26093
48125,26163
48133,26115
48204,26163
48215,26163
48748,26069
48634,26017
48634,26111
48858,26111
48858,26073
48817,26155
48873,26037
48873,26067
48838,26081
48838,26067
48838,26117
48834,26067
48834,26117
48819,26065
49045,26159
49045,26027
49026,26005
49026,26159
49330,26121
49330,26139
49330,26081
49330,26123
49417,26139
49895,26041
49895,26153
49895,26003
49640,26089
49640,26019
49507,26081
49777,26141
49815,26043
49776,26141
49776,26007
48243,26163
49638,26101
49638,26165
49023,26021
49757,26097
49839,26003
49921,26061
49289,26091
48896,26073
48040,26147
48015,26099
48006,26147
48083,26125
48235,26163
48244,26163
48167,26125
48167,26163
48167,26161
48137,26161
48137,26093
48114,26093
48144,26115
48390,26125
48458,26049
48201,26163
48638,26145
48655,26145
48767,26063
48767,26157
48815,26081
48815,26067
49053,26077
49064,26159
49014,26045
49014,26025
49333,26015
49333,26081
49333,26005
49601,26165
49601,26085
49601,26113
49696,26055
49506,26081
49836,26153
49836,26097
49277,26075
48157,26115
48721,26001
48831,26145
48831,26057
48831,26037
48831,26155
49812,26109
49780,26033
49780,26097
48845,26067
48845,26117
48845,26037
48845,26057
49762,26097
48434,26151
49808,26103
49626,26101
49427,26139
49074,26077
48176,26161
48176,26091
48141,26163
48415,26145
48415,26049
48415,26157
48202,26163
48722,26145
49091,26149
49113,26021
49072,26077
49072,26149
48910,26065
49332,26107
49548,26081
49655,26085
49655,26133
49633,26079
49633,26113
49633,26165
49633,26055
49619,26101
49853,26095
49853,26097
49873,26109
49873,26043
49713,26029
49713,26047
49713,26009
48631,26017
48884,26117
49632,26113
49618,26165
49726,26033
49891,26003
49827,26097
48004,26147
49791,26031
48787,26145
48054,26147
48073,26125
48093,26099
49203,26075
48601,26145
49224,26075
49224,26025
49232,26059
48309,26125
48230,26163
48231,26163
48187,26163
48179,26115
48441,26151
48441,26063
48658,26017
48658,26011
48725,26063
48728,26135
48728,26001
48740,26001
48842,26045
48842,26065
48906,26045
48906,26065
48906,26037
49127,26021
49341,26081
49338,26123
49338,26133
49338,26107
49935,26071
49677,26123
49677,26133
49677,26085
49544,26139
49544,26081
49893,26109
49855,26103
49878,26003
49878,26041
49236,26091
49236,26161
49253,26091
49267,26115
49267,26091
48112,26163
48636,26135
48897,26015
48897,26045
49845,26109
48088,26099
48348,26125
48323,26125
49283,26075
48302,26125
48430,26125
48430,26093
48430,26049
48848,26037
48848,26155
48829,26073
48829,26117
49080,26005
49080,26077
49080,26015
49065,26159
49065,26077
49065,26027
49094,26023
49094,26025
49056,26159
49056,26005
49022,26159
49022,26021
49028,26023
49912,26131
49649,26055
49649,26165
49685,26055
49428,26139
49445,26121
49437,26121
49437,26127
48770,26011
48770,26129
48770,26069
48850,26117
48850,26107
49710,26033
48476,26155
49409,26139
48027,26147
48026,26099
48165,26125
48161,26115
48116,26093
48122,26163
48118,26161
48118,26075
48427,26151
48413,26063
48739,26069
48739,26129
48826,26065
49068,26025
49117,26021
49001,26077
49328,26005
49930,26061
49461,26121
49505,26081
49729,26009
49729,26029
49747,26001
49747,26007
48107,26161
48821,26065
48821,26045
49768,26033
48068,26125
48325,26125
49820,26097
48470,26063
48470,26151
49748,26033
49257,26059
48082,26099
48080,26163
48080,26099
48062,26099
48091,26099
48602,26145
49251,26065
49251,26075
48304,26125
48186,26163
48189,26093
48189,26161
48146,26163
48436,26049
48436,26155
48444,26147
48444,26087
48449,26155
48449,26049
48472,26151
48453,26157
48453,26151
48453,26087
48738,26069
48738,26001
48744,26157
48744,26087
48733,26157
48824,26065
48857,26155
49093,26149
49093,26027
49033,26025
49770,26031
49770,26047
49770,26029
49712,26029
49712,26009
49868,26033
49868,26095
49738,26135
49738,26039
49738,26137
49738,26079
49705,26031
49434,26139
49434,26005
48882,26155
48347,26125
48411,26049
48021,26099
48329,26125
49242,26059
49286,26091
48320,26125
48164,26115
48164,26163
48105,26161
48451,26049
48451,26093
48417,26049
48417,26145
48416,26147
48416,26087
48416,26151
48205,26163
48617,26073
48617,26035
48626,26111
48626,26145
